,Pulse,Op.Cam,Time,Exp.Cam,Comments
1410,103913,KLDT-O5WB,49.39117,KLDT-E5WD,"A blue UFO seen on WOPL and a few frames later other, as well a typical UFO appears on UDPT."
1411,103913,KLDT-O5WB,49.39117,KLDT-E5WE,"A blue UFO seen on WOPL and a few frames later other, as well a typical UFO appears on UDPT."
1412,103912,KLDT-O5WB,48.43746,KLDT-E5WC,Blue UFO appear on inner wall (?)
1413,103912,KLDT-O5WB,48.43746,KLDT-E5WD,Blue UFO appear on inner wall (?)
1414,103912,KLDT-O5WB,48.43746,KLDT-E5WE,Blue UFO appear on inner wall (?)
1415,103906,KLDT-O5WB,48.47687,KLDT-E5WC,A typical UFO has appeared on UDPT.
1416,103906,KLDT-O5WB,48.47687,KLDT-E5WD,A typical UFO has appeared on UDPT.
1417,103906,KLDT-O5WB,48.47687,KLDT-E5WE,A typical UFO has appeared on UDPT.
1418,103889,KLDT-O5WB,44.67246,KLDT-E5WD,Unusual UFO on the outer bottom for 2 frames.
1419,103889,KLDT-O5WB,44.67246,KLDT-E5WE,Unusual UFO on the outer bottom for 2 frames.
1420,103888,KLDT-O5WB,43.48447,KLDT-E5WD,splitting Ti UFO over 4 frames
1421,103888,KLDT-O5WB,43.48447,KLDT-E5WE,splitting Ti UFO over 4 frames
1422,103885,KLDT-O5WB,45.69006,KLDT-E5WD,Interestingly shaped Ti UFO
1423,103885,KLDT-O5WB,45.69006,KLDT-E5WE,Interestingly shaped Ti UFO
1424,103858,KLDT-O5WB,50.12231,KLDT-E5WD,UFO appeared on the WOPL and later few UFOs on UDPT (Ti).
