,Unnamed: 0,Pulse,Op.Cam,Time,Exp.Cam,Disruption,Comments
61,61,96955,KLDT-O5WB,47.51477,KLDT-E5WE,0.0,Small blue light in the vessel flying around
62,62,96954,KLDT-O5WB,47.23624,KLDT-E5WE,53.387,Blue light seen flying around the vessel and seen also on the WOPL probably Be
63,63,96951,KLDT-O5WB,48.7162,KLDT-E5WE,0.0,Some blue light seen near the UIWP
64,64,96939,KLDT-O5WB,48.85988,KLDT-E5WE,0.0,"UFOs probably coming from NPL 3B, but I could not see them in any other camera."
65,65,96896,KLDT-O5WB,49.573240000000006,KLDT-E5WE,0.0,UFO dropping from mushrooms
66,66,96893,KLDT-O5WB,42.172470000000004,KLDT-E5WE,0.0,Quite big UFO seen on T8
67,67,96834,KLDT-O5WB,46.08345,KLDT-E5WE,0.0,Unusual blue flash apparently on inboard.
68,68,96818,KLDT-O5WB,43.74,KLDT-E5WE,43.744,"Blue-ish shades and UFOs soon after, just before end of the pulse. Also seen on KLDT-E5WD."
69,69,96817,KLDT-O5WB,42.69,KLDT-E5WE,0.0,From outer wall.
70,70,96815,KLDT-O5WB,43.82,KLDT-E5WE,0.0,Impresssive UFOs until the end of the pulse.
71,71,96783,KLDT-O5WB,46.176,KLDT-E5WE,46.796,Pulse fails early due to particles probably Be from previous disruption. See also KL11-P1DB - lots of UFOs
72,72,96693,KLDT-O5WB,50.69865,KLDT-E5WE,0.0,"UFOs possibly from NB4, spectroscopy shows many impurities"
73,73,96532,KLDT-O5WB,40.84518,KLDT-E5WE,50.509,Very focused Berylium UFO coming from the outboard side.
74,74,96490,KLDT-O5WB,47.52,KLDT-E5WE,0.0,"UFOs throughout the pulse, mainly from outer wall, until the disruption."
75,75,96432,KLDT-O5WB,50.053999999999995,KLDT-E5WE,0.0,"Large UFO in main chamber, doesn't seem to affect the plasma at all."
76,76,96431,KLDT-O5WB,46.925,KLDT-E5WE,0.0,"Series of blue UFOs, look like from outer limiters."
77,77,96426,KLDT-O5WB,49.0696,KLDT-E5WE,0.0,UFO near NPL 2D. Also seen from KLDT-E5WD.
78,78,96425,KLDT-O5WB,47.72,KLDT-E5WE,0.0,"Ufos from octant 4 for 3 frames, more at 48.28 not sure from where. And another one at 49.24 which seems coming from NPL (Berillium, also seen on KLDT-E5WD). And another one at 52.77 which seems coming from NPL (Berillium, also seen on KLDT-E5WD). One more at 54.13."
79,79,96363,KLDT-O5WB,41.23,KLDT-E5WE,0.0,UFO (Be) comming from the upeer dump plates close to UIWP
80,80,96344,KLDT-O5WB,50.115990000000004,KLDT-E5WE,0.0,UFO's from wOPL
81,81,96343,KLDT-O5WB,50.60988,KLDT-E5WE,0.0,UFO from wOPL
82,82,96340,KLDT-O5WB,48.79809,KLDT-E5WE,50.032,UFO's from wOPL
83,83,96340,KLDT-O5WB,47.236290000000004,KLDT-E5WE,50.032,UFO's from wOPL (2 frames) seen also 47.4770 and by KLDT-E5WD
84,84,96340,KLDT-O5WB,46.79652,KLDT-E5WE,50.032,UFO on UDPT
85,85,96340,KLDT-O5WB,46.79652,KLDT-E5WE,50.032,UFo on nPL seen also at 47.71730 and also by KLDT-E5WD
86,86,96339,KLDT-O5WB,48.13579,KLDT-E5WE,0.0,UFO from UDPT
87,87,96339,KLDT-O5WB,47.21559,KLDT-E5WE,0.0,UFO from wOPL seen also at 47.81605 and 47.735 and seen also by KLDT-E5WD
88,88,96339,KLDT-O5WB,46.77531,KLDT-E5WE,0.0,UFO from ICRH seen also at 47.615 and 47.735 and seen also by KLDT- E5WD
89,89,96338,KLDT-O5WB,49.82488,KLDT-E5WE,0.0,UFO from nPL and repeated in 50.02503sec seen also by KLDT- E5WD
90,90,96338,KLDT-O5WB,48.4638,KLDT-E5WE,0.0,UFO from nPL seen also by KLDT-E5WD
91,91,96338,KLDT-O5WB,49.58467,KLDT-E5WE,0.0,UFO from wOPL
92,92,96338,KLDT-O5WB,47.50306,KLDT-E5WE,0.0,UFO from WOPL
93,93,96338,KLDT-O5WB,47.30292,KLDT-E5WE,0.0,UFO from ICRH B
94,94,96327,KLDT-O5WB,50.89604,KLDT-E5WE,0.0,Small UFO near 4D limiter
